section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-action href,section-result-action-icon src,section-result-action-text,section-result-location,section-result-info 2,section-result-info 3
Damon prison,3.5,(10),Prison,+972 8-977-6666,https://www.gov.il/he/Departments/prison_service,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Prison Tsalmon,3.4,(8),Prison,+972 8-977-6666,http://www.ips.gov.il/Web/He/Prisons/Districts/North/Zalmon/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Prison Six,3.4,(18),Prison,,https://www.gov.il/he/Departments/prison_service,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
HaKarmel Prison,,,Prison,+972 8-977-6666,http://ips.gov.il/Web/He/Prisons/Districts/North/Karmel/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Tadmor Palmyra Prison,3.1,(51),Prison,,,,,,,
Lefkoşa Merkezi Ceza Evi,5.0,(1),Prison,,,,,,,
السجن المركزي باللاذقية البصة,1.7,(95),Prison,,,,,,,
يوسف حمايده ( ابو المعتصم ),5.0,(1),Prison,+962 7 9935 0730,,,,,,
בית מעצר פתח תקווה,2.0,(4),Prison,+972 8-977-6666,,,,Yehoshua Shtampfer St 53,,
Megiddo Prison,2.7,(11),Prison,+972 8-977-6666,http://www.ips.gov.il/Web/He/News/ContactUs/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Beirut New US Embassy Campus,4.5,(2),Embassy,04 543 600,https://lb.usembassy.gov/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
مركز اصلاح وتأهيل الرميمين,4.0,(4),Prison,01 810 170,http://www.jordanews.com/jordan/8365.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Unnamed Road,,
Bab Al Hawa Prison,3.8,(13),Prison,,https://www.isalna.com/335257/%D8%A7%D9%8A%D9%86-%D9%8A%D9%82%D8%B9-%D8%B3%D8%AC%D9%86-%D8%A8%D8%A7%D8%A8-%D8%A7%D9%84%D9%87%D9%88%D9%89,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
The Hadarim Detention Center,3.0,(1),Prison,01 740 942,,,,,,
Tel Aviv Detention,3.1,(16),Prison,+972 8-977-6666,http://www.ips.gov.il/Web/He/Prisons/Districts/Central/TelAviv/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Derekh Ben-Zvi 82,,
مركز اصلاح وتأهيل اربد (باب الهواء),2.4,(8),Prison,,,,,Unnamed Road,,
Hasharon Prison,3.9,(14),Prison,+972 9-899-4201,http://www.ips.gov.il/Web/He/Prisons/Districts/Central/Sharon/Default.aspx,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Irbid prison,3.3,(3),Prison,,http://www.ahdath24.com/article/123458,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
قصر العدل - Palace Of Justice,4.0,(2),City courthouse,+972 8-977-6777,,,,,,
Umm Lulu Prison,4.2,(9),Prison,+972 50-910-5664,https://www.sarayanews.com/index.php?page=article&id=494469,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Batroun Municipality,4.5,(4),Government office,06 642 170,,,,,,
Ashmoret Penitentiary,3.3,(3),Prison,+972 8-977-6666,,,,,,
سجن إدلب,2.5,(11),Prison,,,,,60,,
Perrin prison,3.8,(24),Prison,+972 8-977-6666,http://www.rumonline.net/print.php?id=283599,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Prison Samandağ,3.0,(2),Prison,+90 326 512 16 28,http://www.hatay.adalet.gov.tr/samandag/kalemler/mahkemeler/cezaevi.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Samandağ,,
مكتب شام للعقارات,5.0,(1),Prison,,,,,As Suwayda,,
Altınözü Ceza Evi,5.0,(1),Prison,,,,,Altınözü,,
Bomonti Development,5.0,(1),Prison,+90 533 849 72 50,,,,Nicosia,Closed today,
Hatay T Type Closed Prison,3.1,(10),Prison,+90 326 236 14 76,http://hataytcik.adalet.gov.tr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Closed today,
مركز اصلاح وتأهيل الزرقاء، سجن الهاشمية,3.0,(2),Prison,+972 8-977-6666,https://www.garaanews.com/%D8%B4%D8%A7%D9%87%D8%AF-%D8%A8%D8%A7%D9%84%D9%81%D9%8A%D8%AF%D9%8A%D9%88-%D9%88%D8%A7%D9%84%D8%B5%D9%88%D8%B1-%D8%B3%D8%AC%D9%86-%D8%A7%D9%84%D8%B2%D8%B1%D9%82%D8%A7%D8%A1-%D9%84%D9%84%D8%A7%D8%B5%D9%84%D8%A7%D8%AD-%D9%88%D8%A7%D9%84%D8%AA%D8%A3%D9%87%D9%8A%D9%84-%D9%85%D9%86-%D8%A7%D9%84%D8%AF%D8%A7%D8%AE%D9%84-,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Unnamed Road,,
Hatay Open Prison,4.0,(1),Juvenile detention center,04 543 600,,,,Antakya,,Open until 5:00 AM
Prison Almcza,1.0,(1),Prison,01 810 170,,,,,,
سجن رميمين Rmemin Prison,1.0,(1),Prison,,,,,,,
Jweida,3.7,(57),Prison,+962 6 412 8040,http://www.jfranews.com.jo/more-217645-1-%D9%85%D8%AF%D8%B9%D9%8A-%D8%B9%D8%A7%D9%85-%D8%B9%D9%85%D9%91%D8%A7%D9%86-%D9%8A%D9%88%D9%82%D9%81-%D9%82%D9%86%D8%AF%D9%8A%D9%84-15-%D9%8A%D9%88%D9%85%D8%A7%D9%8B-%D9%81%D9%8A-%D8%B3%D8%AC%D9%86-%D8%A7%D9%84%D8%AC%D9%88%D9%8A%D8%AF%D8%A9,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Amman,Closed today,
Al salt prison سجن السلط,3.4,(7),Prison,+972 8-977-6666,https://m.alwakeelnews.com/Section_1/%D8%A7%D8%AE%D8%A8%D8%A7%D8%B1-%D9%85%D8%AD%D9%84%D9%8A%D8%A9/%D8%B4%D8%A7%D9%87%D8%AF-%D8%AC%D9%88%D9%84%D8%A9-%D8%AF%D8%A7%D8%AE%D9%84-%D8%B2%D9%86%D8%A7%D8%B2%D9%8A%D9%86-%D8%B3%D8%AC%D9%86-%D8%A7%D9%84%D8%B3%D9%84%D8%B7-%D8%A7%D9%84%D9%82%D8%AF%D9%8A%D9%85_415147,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Reyhanlı Kapalı Cezaevi,5.0,(4),Prison,+90 326 413 45 54,,,,Reyhanlı,,
سجن حلب المؤقت,3.9,(14),Prison,+972 9-899-4201,,,,,Closed,Opens at 8:00 AM
Rakka Main Prison,5.0,(1),Prison,,,,,,,
Kırıkhan Ceza Evi,3.7,(3),Prison,+972 8-977-6777,,,,Kırıkhan,,
Saharonim Prison,1.7,(3),Prison,+972 8-682-4555,,,,,,
Karataş Kapalı Cezaevi,5.0,(1),Prison,06 642 170,,,,,,
İskenderun M Tipi Kapalı Ve Açık Ceza İnfaz Kurumu,3.5,(2),Prison,+90 326 631 42 14,,,,,,
Erdemli K2 Tipi Kapalı Cezaevi,4.0,(1),Prison,,,,,,,
مركز اصلاح وتأهيل ناعور,4.0,(1),Prison,+972 8-977-6666,,,,,Closed,Opens at 8:00 AM
معتقل القرية الخامسة للاجئين السوريين,3.0,(2),Prison,+90 326 512 16 28,,,,Al-Azraq Camp,,
Silifke M Type Closed Prison,4.1,(7),Prison,+90 324 714 16 09,,,,Silifke,,
İslahiye Ceza Ve Tevkif Evi,1.0,(1),Prison,,,,,İslahiye,,
Tarsus Prison,3.3,(9),Prison,+90 533 849 72 50,,,,Tarsus,Closed today,
انضباط الدفاع المدني,3.1,(10),Prison,+962 6 572 7392,,,,Amman,Closed today,
Swaqa Rehabilitation Center,4.3,(23),Prison,+962 7 8170 2379,,,,,,
Kilis Ceza İnfaz Kurumları,3.2,(13),Prison,+90 348 822 20 12,,,,,,Open until 5:00 AM
Gaziantep Prison,2.8,(5),Prison,01 810 170,,,,,,
Anamur T Tipi Kapalı Ceza İnfaz Kurumu,1.0,(1),Prison,,,,,,,
Osmaniye T Type Closed Prison,2.6,(7),Prison,+962 6 412 8040,,,,,Closed today,
Nizip Cezaevi,3.0,(3),Prison,+972 8-977-6666,,,,,,
Toprakkale Prison,2.3,(6),Prison,+90 328 633 31 34,,,,Tüysüz/Toprakkale,,
Akçakale Kapalı Cezaevi,3.0,(3),Prison,+972 9-899-4201,,,,,Closed,Opens at 8:00 AM
Halfeti Kapalı Cezaevi,5.0,(1),Prison,,,,,,,
Karaman M Type Closed Prison,4.0,(4),Prison,+972 8-977-6777,,,,,,
سجن اورفا المركزي,2.0,(1),Prison,+972 8-682-4555,,,,Şanlıurfa Merkez,,
Gaziantep L Tipi Kapalı Ceza İnfaz Kurumu,2.5,(2),Prison,+90 342 482 10 18,,,,,,
جمعية حماية الأحداث,3.5,(2),Juvenile detention center,+90 326 631 42 14,,,,Hama,,
Cezaevi,3.0,(2),Prison,,,,,Kâhta,,
Bakkallar- Şutim taziye evi,4.0,(1),Prison,+972 8-977-6666,,,,Haliliye,Closed,Opens at 8:00 AM
Sanliurfa E Type Closed and Open Prison,4.0,(4),Prison,+90 414 216 88 34,,,,Şanlıurfa Merkez,,
Mouqar prison سجن الموقر,4.1,(7),Government office,+90 324 714 16 09,,,,,,
Siverek eski cezaevi,1.0,(1),Prison,,,,,Siverek,,
سجن سويريك,3.3,(9),Prison,+90 533 849 72 50,,,,,Closed today,
Car Protech,5.0,(4),Auto repair shop,70 271 246,,,,Roumieh,Closed today,
Beyşehir A3 Tipi Ceza Evi,4.3,(23),Prison,+962 7 8170 2379,,,,Beyşehir,,
Tarsus prison campus,3.0,(15),Government office,+90 324 644 61 80,,,,,Closed today,Open until 5:00 AM
Asylum Service,5.0,(2),Government office,+357 22 445245,http://www.moi.gov.cy/asylum,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Nicosia,,
Hatay Çocuk ve Gençlik Kapalı Ceza İnfaz Kurumu,4.0,(3),Juvenile detention center,+90 326 236 13 36,,,,,Closed today,
Central Prison,3.4,(81),Prison,+965 2467 0196,,,,Khalaf Al Ahmar Rd,Closed today,
Metris Prison,3.2,(48),Prison,+90 212 538 50 56,http://metristcik.adalet.gov.tr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Esenler,,
"Lebanese American University, Beirut Campus",4.5,(201),University,01 786 456,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Beirut,,
Letitia Gallery,4.1,(51),Art gallery,01 353 222,http://letitiagallerybeirut.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Closed today,Opens at 8:00 AM
Evin Prison,2.3,(29),Prison,+98 21 2243 0014,,,,Tehran,,
Spaç Prison,5.0,(6),Prison,+355 68 202 3440,http://spacimuseum.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Amnesty International Limited,5.0,(1),Non-profit organization,01 759 471,https://www.amnesty.org/ar/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Bahá'u'lláh's prison cell,2.5,(2),Pilgrimage place,+90 342 482 10 18,,,,,,
Friedrich Naumann Foundation,4.6,(7),Non-profit organization,01 427 910,http://beirut.fnst.org/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Closed today,
Mamertine Prison,3.8,(145),Prison,+39 06 6992 4652,http://www.archeoroma.beniculturali.it/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Clivo Argentario, 1",Closed,Opens at 8:30 AM
Hilton Beirut Metropolitan Palace,4.4,(690),5-star hotel,01 496 666,https://www3.hilton.com/en/hotels/lebanon/hilton-beirut-metropolitan-palace-BEYMPHI/index.html?WT.mc_id=zELWAKN0EMEA1HI2DMH3LocalSearch4DGGenericx6BEYMPHI,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Temporarily closed,Opens at 8:00 AM
Ordre des Avocats de Beyrouth,4.3,(3),Non-governmental organization,01 422 205,http://bba.org.lb/fr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
يونسيف لبنان,4.5,(33),Non-profit organization,01 429 288,https://www.unicef.org/lebanon/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,,
Rajaei-Shahr Prison,3.1,(10),Prison,+98 26 3448 9826,,,,Moazzen Blvd,,
Reuters,3.0,(2),News service,01 983 885,http://www.reuters.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,,Closed today,
Shata Prison,5.0,(4),Bus stop,70 271 246,,,,,Closed today,
ICRC,4.7,(36),Non-governmental organization,+962 7 8170 2379,,,,,,
JAC MOTORS,4.8,(21),Car dealer,71 255 988,http://www.jacmotorslebanon.com/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,"Sayyad Highway, Damascus",Closed today,Open until 5:00 AM
IMEI,3.4,(5),Prison,+36 1 432 5900,http://bv.gov.hu/imei,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Kozma u. 13,,
Ghezel Hesar prison,2.2,(13),Prison,+98 932 294 8259,,,,Payam Rd,Closed today,
Juvenile Care Center,4.0,(9),Prison,+971 2 504 6651,,,,Al Mafraq,Closed today,
Lukiškės Prison,4.3,(36),Prison,+370 5 264 9140,http://www.kaldep.lt/lt/ltik/pradzia-ltik/naujienos.html,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Lukiškių skg. 6,,
"Prison ""La Santé""",3.5,(69),Prison,+33 1 86 21 80 20,http://www.justice.gouv.fr/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,42 Rue de la Santé,,
Springfield,4.4,(20),Clothing store,09 639 416,http://www.gs.com.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website,Kaslik,Closed,Opens at 12:00 PM
