year,month,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,Topics
2020,2,1,عكار,Akkar,"['Healthcare Lebanon', 'Home Health', 'Healthcare Staffing', 'Therapy', '#jobs']"
2020,2,2,بعلبك - هرمل,Baalbak - Hermel,"['Medical Center', 'refugees in Lebanon', 'Medical Aid', 'Aid for Palestinians', 'Health Minister', 'medical sector', 'healthcare services']"
2020,2,3,بيروت,Beirut,"['#كورونا #لبنان', 'Medical Assistant', 'Medical Center', 'وزير الصحة', 'refugees', '#coronavirus #كورونا', '#Pregnancy #Birth', '#Cosmetics #treatment', '#center #Pharmaceutical', '#Pharmaceutical #products', '#products #Cosmetics', '#Cosmetics #treatment #lebanon', '#center #Pharmaceutical #products', '#Lebanon #Pregnancy', 'medical support', '#كورونا #كورونا_لبنان', '#treatment #lebanon']"
2020,2,4,البقاع,Bekaa,"['#كورونا #لبنان_ينتفض #لا_داعي_للهلع', 'corona case', 'فيروس #كورونا']"
2020,2,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'فيروس #كورونا', '#لبنان #كورونا', 'وزير الصحة', 'Medical Center', 'Aid for Palestinians', '#Healthcare #Job', 'وزارة الصحة']"
2020,2,6,نبطية,Nabatiyeh,"['Syrian refugees', 'school & healthcare', 'فيروس #كورونا', '#كورونا_لبنان #Covid_19', 'Medical Center', 'refugees in Lebanon', 'الحكومة اللبنانية']"
2020,2,7,الشمال,North,"['Jobs', '#Lebanon #Jordan', 'Dubai Jobs', '#Hospital #Doctor']"
2020,2,8,الجنوب,South,"['Medical Camp', 'Medical Center', 'refugees in lebanon', 'provide healthcare', '#كورونا_لبنان #سكروا_المدارس']"
2020,3,1,عكار,Akkar,"['Healthcare Lebanon', 'Therapy', 'medical services', 'high paying']"
2020,3,2,بعلبك - هرمل,Baalbak - Hermel,"['#فيروس_كورونا', '#خليك_بالبيت #كورونا_لبنان', '#كورونا_لبنان #كورونا', '#كورونا_لبنان #كورونا_الجديد', '#كورونا #لبنان', '#كورونا_لبنان #خليك_بالبيت', '#Covid_19 #Lebanon', 'فيروس كورونا', 'وزارة الصحة', 'حظر التجول', 'cases in #Lebanon']"
2020,3,3,بيروت,Beirut,"['#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'فيروس كورونا', '#خليك_بالبيت #كورونا_لبنان', '#كورونا #خليك_بالبيت', 'انتشار', '#Covid_19 #Corona']"
2020,3,4,البقاع,Bekaa,"['#كورونا_لبنان #كورونا', '#كورونا #لبنان', 'wash your hands', 'فيروس كورونا', '#كورونا_لبنان #خليك_بالبيت', '#Covid_19 #كورونا_لبنان', '#الكلوروكين']"
2020,3,5,جبل لبنان,Mount Lebanon,"['#كورونا #كورونا_لبنان', '#خليك_بالبيت #كورونا_لبنان', 'وزارة الصحة', 'وزير الصحة', 'إصابة جديدة', 'حالة وفاة', 'مستشفى رفيق الحريري', 'التعبئة العامة']"
2020,3,6,نبطية,Nabatiyeh,"['#كورونا #لبنان', 'انتشار', '#كورونا #كورونا_لبنان', '#خليك_بالبيت #كورونا_لبنان', 'new cases', '#كورونا_لبنان #COVIDー19', 'وزارة الصحة', 'فيروس #كورونا', '#كورونا_في_الكويت #كورونا_مصر', 'وزير الصحة', '#كورونا_العراق #كورونا_البحرين', 'انتشار كورونا', '#كورونا_المستجد #كورونا_في_الكويت #كورونا_مصر', '#كورونا_مصر #كورونا_لبنان #كورونا_العراق']"
2020,3,7,الشمال,North,"['#كورونا #لبنان', '#كورونا_لبنان #خليك_بالبيت', '#Lebanon #Jordan', 'hiring! VACANCY', 'فيروس #كورونا', '#لبنان #كورونا_لبنان', 'مستشفى رفيق الحريري', '#Covid_19 #Corona']"
2020,3,8,الجنوب,South,"['فيروس كورونا', '#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'Medical Center', '#كورونا_لبنان #خليك_بالبيت', '#كورونا_فايروس #مدينة_صور', '#مدينة_صور #جنوب_لبنان', '#خليك_بالبيت #كورونا_لبنان', '#ما_تستهتر #كورونا', 'healthcare system', 'حالة وفاة', '#خليك_بالبيت #ما_تستهتر']"
2020,4,1,عكار,Akkar,"['first Arab country', 'Lebanon', 'legalise medical marijuana', '#لبنان #كورونا', 'medical marijuana legal', 'medical use in', 'economic']"
2020,4,2,بعلبك - هرمل,Baalbak - Hermel,"['Syrians in lebanon', 'desperate for healthcare', 'million Syrians', 'Suffering in silence:', '#كورونا #كورونا_لبنان', 'COVID-19']"
2020,4,3,بيروت,Beirut,"['#كورونا #لبنان', '#كورونا_لبنان #خليك_بالبيت', 'إصابة جديدة', 'medical cannabis', '#لبنان #كورونا_لبنان', '#خليك_بالبيت #خليك_في_البيت', 'الاصابات بفيروس', 'التعداد اليومي لعدد الاصابات', 'إصابات جديدة', 'Lebanon legalizes medical cannabis', 'cannabis production', '#كورونا #لبنان_ينتفض']"
2020,4,4,البقاع,Bekaa,"['فيروس كورونا', 'وزارة الصحة', '#كورونا_لبنان #خليك_بالبيت', 'التعبئة العامة', 'الحكومة اللبنانية', 'COVID-19', '#بالوعي_نواجه_الكورونا', 'وباء كورونا.']"
2020,4,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'إصابات جديدة', 'وزارة الصحة', '#كورونا_لبنان #خليك_بالبيت', 'وزير الصحة', 'التعبئة العامة', '#لبنان_ينتفض #كورونا_لبنان', 'Medical Marijuana']"
2020,4,6,نبطية,Nabatiyeh,"['فيروس كورونا', 'التقرير اليومي', '#كورونا #لبنان', '#كورونا_لبنان #خليك_بالبيت #وطنك_بيتك #كورونا', '#كورونا_مصر #كورونا_لبنان', '#كورونا_لبنان #كورونا_الاردن', '#كورونا_مصر #كورونا_السعوديه', '#كورونا_لبنان #كورونا_المغرب', 'أزمة #كورونا', '#كورونا_المغرب #كورونا_الكويت', '#كورونا_العراق #كورونا_البحرين', 'medical cannabis', 'The Medical School', '#coronavirus #Covid_19']"
2020,4,7,الشمال,North,"['#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'positive COVID-19 cases', '#خليك_بالبيت\u2069 \u2067#كورونا_لبنان', '#فيروس_كورونا #لبنان', 'الاصابات الى ارتفاع']"
2020,4,8,الجنوب,South,"['#كورونا_فايروس #مدينة_صور #جنوب_لبنان', '#خليك_بالبيت #كورونا', 'refugees', 'medical cannabis', '#ما_تستهتر #كورونا', '#COVID19', '#جنوب_لبنان #لبنان', 'medical supplies']"
2020,5,1,عكار,Akkar,"['Healthcare Lebanon', '#كورونا #لبنان', 'كورونا لا ترحم']"
2020,5,2,بعلبك - هرمل,Baalbak - Hermel,"['#كورونا #كورونا_لبنان', 'healthcare', 'Medical Aid', 'medical marijuana', 'Aid for Palestinians', '#خليك_بالبيت #خليك_في_البيت']"
2020,5,3,بيروت,Beirut,"['#خليك_بالبيت #كورونا', '#كورونا #كورونا_لبنان', 'وزارة الصحة', 'اصابة جديدة', '#كورونا_لبنان #خليك_بالبيت', 'وزارة الصحة اللبنانية', 'بفيروس #كورونا_لبنان', 'الاصابات بفيروس #كورونا_لبنان', 'التعداد اليومي لعدد', '#كورونا_لبنان #Covid_19', '#فيروس_كورونا #لبنان']"
2020,5,4,البقاع,Bekaa,"['واقع خطير', 'الحكومة الجديدة', '#كورونا #لبنان', '#لبنان_ينتقض', 'ستتحمّل المسؤولية']"
2020,5,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'إصابة جديدة', '#فيروس_كورونا', '#فيروس_كورونا في #لبنان', 'وزارة الصحة', 'الإصابات إلى ارتفاع', 'medical marijuana', '#خليك_بالبيت #كورونا_لبنان', 'وزير الصحة', 'medical marijuana dispensary']"
2020,5,6,نبطية,Nabatiyeh,"['#كورونا_لبنان #خليك_بالبيت #وطنك_بيتك #كورونا', 'التقرير اليومي لكورونا', 'Palestinians in #Lebanon', 'healthcare for Palestinians', '#كورونا #لبنان', '#لبنان #كورونا_لبنان']"
2020,5,7,الشمال,North,"['بفيروس كورونا', '#كورونا #لبنان', 'total cases']"
2020,5,8,الجنوب,South,"['Syrian refugees', '#كورونا #لبنان', '#كورونا #كورونا_لبنان', 'medical marijuana', '#خليك_بالبيت #كورونا_لبنان', 'حسان دياب', '#كورونا_فايروس #مدينة_صور', 'marijuana dispensary', '#مدينة_صور #جنوب_لبنان', 'وزير الداخلية']"
2020,6,1,عكار,Akkar,['#كورونا #لبنان']
2020,6,2,بعلبك - هرمل,Baalbak - Hermel,"['#كورونا #كورونا_لبنان', 'Syrian refugees', '#Covid_19 cases', '#COVID19 #stayathome #staysafe']"
2020,6,3,بيروت,Beirut,"['#كورونا #لبنان', 'إصابة جديدة', '#coronavirus #كورونا', 'التعداد اليومي', 'Benefits of Cannabis', 'Syrian refugees', 'كورونا#لبنان #كورونا']"
2020,6,4,البقاع,Bekaa,"['#كورونا #لبنان_ينتقض', 'واقع خطير', 'تتحمّل المسؤولية', 'إنّ هذه الحكومة', 'الحكومة الجديدة']"
2020,6,5,جبل لبنان,Mount Lebanon,"['إصابة جديدة', '#كورونا #لبنان', '#وزارة_الصحة', 'medical marijuana', 'اصابة جديدة']"
2020,6,6,نبطية,Nabatiyeh,"['التقرير اليومي لكورونا', '#كورونا_لبنان #خليك_بالبيت #وطنك_بيتك #كورونا', '#كورونا #لبنان']"
2020,6,7,الشمال,North,"['إصابة جديدة', 'إجمالي الاصابات', 'فيروس كورونا', 'positive COVID-19 cases', 'daily report']"
2020,6,8,الجنوب,South,"['#كورونا #لبنان', 'Syrian refugees', 'Benefits of Cannabis']"
2020,7,1,عكار,Akkar,"['Healthcare Lebanon', '#كورونا #لبنان']"
2020,7,2,بعلبك - هرمل,Baalbak - Hermel,"['#كورونا #كورونا_لبنان', 'إصابة جديدة', '#Covid_19 cases']"
2020,7,3,بيروت,Beirut,"['#كورونا #لبنان', 'إصابة جديدة', 'فيروس كورونا']"
2020,7,4,البقاع,Bekaa,"['#كورونا #لبنان', 'واقع خطير', 'ستتحمّل المسؤولية', 'الحكومة الجديدة', '#كورونا #لبنان_ينتقض']"
2020,7,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'Legalize Medical Marijuana', 'Syrian refugee', 'إصابة جديدة']"
2020,7,6,نبطية,Nabatiyeh,"['فيروس كورونا', 'التقرير اليومي']"
2020,7,7,الشمال,North,"['بفيروس كورونا', '#كورونا #لبنان', 'وزارة الصحة', 'إصابة جديدة', 'من المقيمين والوافدين']"
2020,7,8,الجنوب,South,"['إصابة جديدة', 'فيروس #كورونا', 'وزارة الصحة', 'مشكلة كورونا']"
2020,8,1,عكار,Akkar,"['كورونا كورونا_لبنان', 'medical supplies', 'beirut lebanon', 'إصابات كورونا', 'economical crisis', 'emergency medical support']"
2020,8,2,بعلبك - هرمل,Baalbak - Hermel,"['كورونا كورونا_لبنان', '#كورونا_لبنان_سبسيال', 'record breaking day', 'foodbanks medical charities']"
2020,8,3,بيروت,Beirut,"['medical supplies', 'كورونا لبنان', 'medical relief', 'beirut lebanon', 'medical aid', 'emergency medical', 'beirut explosion', 'لبنان بيروت', 'help lebanon']"
2020,8,4,البقاع,Bekaa,"['medical supplies', 'كورونا كورونا_لبنان', 'كلن_يعني_كلن كورونا_لبنان', 'lebanon relief', 'lebanon beirutblast', 'كورونا_لبنان لبنان_ينتفض حكام_العار', 'كلن_يعني_كلن كورونا_لبنان انفجار_المرفأ']"
2020,8,5,جبل لبنان,Mount Lebanon,"['كورونا لبنان', 'medical aid', 'aid lebanon', 'medical supplies', 'كورونا كورونا_لبنان']"
2020,8,6,نبطية,Nabatiyeh,['كورونا لبنان']
2020,8,7,الشمال,North,"['كورونا كورونا_لبنان', 'beirut lebanon', 'conference support lebanon']"
2020,8,8,الجنوب,South,"['كورونا لبنان', 'medical supplies', 'وزارة الصحة', 'medical assistance', 'medical supplies lebanon', 'معا_نعزل_كورونا لبنان']"
2020,9,1,عكار,Akkar,"['#وعيك_امانه', 'كورونا سجن_رومية']"
2020,9,2,بعلبك - هرمل,Baalbak - Hermel,['كورونا كورونا_لبنان']
2020,9,3,بيروت,Beirut,"['كورونا كورونا_لبنان', 'لبنان بيروت', 'وزارة الصحة']"
2020,9,4,البقاع,Bekaa,"['الكمامة أكسسوار مراية', 'مراية السيارة كورونا_لبنان']"
2020,9,5,جبل لبنان,Mount Lebanon,"['كورونا لبنان', 'وزارة الصحة', 'حالات وفاة', 'إصابات جديدة', 'خليك_بالبيت وطنك_بيتك']"
2020,9,6,نبطية,Nabatiyeh,"['covid cases', 'كورونا لبنان', 'التعليم إجراءات الوقاية', 'غلطة المستهتر إصابة']"
2020,9,7,الشمال,North,"['كورونا كورونا_لبنان', 'الوقاية_ثم_الوقاية_ثم_الوقاية كورونا']"
2020,9,8,الجنوب,South,"['كورونا لبنان', 'وزارة الصحة', 'معا_نعزل_كورونا', 'إصابات جديدة', 'طرابلس كورونا لبنان']"
