date,year,month,day,new_cases,new_deaths,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
2/1/2020,2020,2,1,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/2/2020,2020,2,2,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/3/2020,2020,2,3,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/4/2020,2020,2,4,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/5/2020,2020,2,5,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/6/2020,2020,2,6,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/7/2020,2020,2,7,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/8/2020,2020,2,8,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/9/2020,2020,2,9,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/10/2020,2020,2,10,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/11/2020,2020,2,11,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/12/2020,2020,2,12,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/13/2020,2020,2,13,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/14/2020,2020,2,14,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/15/2020,2020,2,15,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/16/2020,2020,2,16,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/17/2020,2020,2,17,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/18/2020,2020,2,18,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/19/2020,2020,2,19,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/20/2020,2020,2,20,0,0,0,0,0,0,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/21/2020,2020,2,21,1,1,0,0,1,1,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/22/2020,2020,2,22,0,0,1,1,1,1,-1.0,-1.0,0.22020874429045445,-0.06109185816387386
2/23/2020,2020,2,23,0,0,0,0,1,1,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/24/2020,2020,2,24,0,0,0,0,1,1,-1.0,-1.0,0.118641158855052,-0.06109185816387386
2/25/2020,2020,2,25,1,0,0,0,2,1,-1.0,-0.9076539826499493,-0.03371021929805171,-0.06109185816387386
2/26/2020,2020,2,26,0,0,1,0,2,1,-1.0,-1.0,0.22020874429045445,-0.06109185816387386
2/27/2020,2020,2,27,1,0,0,0,3,1,-1.0,-0.8768719768665991,-0.008318322939201095,-0.06109185816387386
2/28/2020,2020,2,28,1,0,1,0,4,1,-1.0,-0.8614809739749241,0.118641158855052,0.4906275116453923
2/29/2020,2020,2,29,3,0,1,0,7,1,-1.0,-0.6833850833712549,-0.1860615974511554,-0.24499831476696257
3/1/2020,2020,3,1,3,0,3,0,10,1,-0.9326164874551971,-0.7229619479498481,0.118641158855052,0.4906275116453923
3/2/2020,2020,3,2,3,0,3,0,13,1,-0.9326164874551971,-0.7442725673383213,0.118641158855052,0.4906275116453923
3/3/2020,2020,3,3,0,0,3,0,13,1,-1.0,-1.0,0.5452250176837423,-0.06109185816387386
3/4/2020,2020,3,4,2,1,0,0,15,2,-0.9550776583034648,-0.7814477589382135,-0.1860615974511554,-0.06109185816387386
3/5/2020,2020,3,5,1,0,2,1,16,2,-0.9775388291517324,-0.9076539826499493,0.241973226883755,0.21476782674075923
3/6/2020,2020,3,6,6,2,1,0,22,4,-0.8652329749103942,-0.45431898838606444,-0.48441637966765017,-0.1530450864654182
3/7/2020,2020,3,7,6,0,6,2,28,4,-0.8652329749103942,-0.6042313542140687,0.118641158855052,0.4906275116453923
3/8/2020,2020,3,8,4,1,6,0,32,5,-0.9101553166069295,-0.6906408418773303,0.298337656163841,0.30672105504230357
3/9/2020,2020,3,9,12,0,4,1,44,5,-0.7304659498207885,-0.39555334098148665,-0.5584760773809645,-0.24499831476696257
3/10/2020,2020,3,10,16,1,12,0,60,6,-0.640621266427718,-0.2981702681396151,-0.11982186781937115,-0.4748813855208235
3/11/2020,2020,3,11,2,0,16,1,62,6,-0.9550776583034648,-0.9165906940064059,0.8822789308323372,0.007873063062284413
3/12/2020,2020,3,12,8,0,2,0,70,6,-0.820310633213859,-0.6833850833712549,-0.11174385201061704,-0.1990217006161904
3/13/2020,2020,3,13,18,0,8,0,88,6,-0.5956989247311828,-0.39555334098148665,-0.23792589639689282,-0.3063004669679922
3/14/2020,2020,3,14,7,0,18,0,95,6,-0.8427718040621266,-0.76864892495461,0.4616544956325077,0.15346567453972965
3/15/2020,2020,3,15,13,0,7,0,108,6,-0.7080047789725209,-0.5998339248164473,-0.04715298795861966,-0.35817151883040177
3/16/2020,2020,3,16,12,0,13,0,120,6,-0.7304659498207885,-0.6490851340698076,0.14540559015221888,0.44818756012160266
3/17/2020,2020,3,17,17,0,12,0,137,6,-0.6181600955794504,-0.5416402058537633,-0.020167874573331385,-0.45054082508806176
3/18/2020,2020,3,18,17,0,17,0,154,6,-0.6181600955794504,-0.5718502831952197,0.118641158855052,0.4906275116453923
3/19/2020,2020,3,19,22,3,17,0,176,9,-0.5058542413381123,-0.33818687565797045,-0.024188258163482718,-0.4874204621073977
3/20/2020,2020,3,20,48,2,22,3,224,11,0.07813620071684602,0.01100899514406084,-0.6114505435100174,0.053849677213056585
3/21/2020,2020,3,21,17,0,48,2,241,11,-0.6181600955794504,-0.6873263478936045,0.8136013492891797,0.13430875197690792
3/22/2020,2020,3,22,17,1,17,0,258,12,-0.6181600955794504,-0.6418907350436989,0.118641158855052,0.4906275116453923
3/23/2020,2020,3,23,39,3,17,1,297,15,-0.1240143369175627,-0.22168164770826004,-0.29835815317903003,-0.4854913734017709
3/24/2020,2020,3,24,30,3,39,3,327,18,-0.3261648745519713,-0.40398694306641625,0.2719215088261624,0.9150270268832893
3/25/2020,2020,3,25,35,0,30,3,362,18,-0.21385902031063309,-0.5000049889334275,0.03497999744149795,-0.5339941751432449
3/26/2020,2020,3,26,23,1,35,0,385,19,-0.4833930704898446,-0.6314238793503653,0.32063512090074003,0.3014665848536439
3/27/2020,2020,3,27,21,0,23,1,406,19,-0.52831541218638,-0.7134089116722566,0.15124969944220754,0.4426519142706735
3/28/2020,2020,3,28,28,2,21,0,434,21,-0.3710872162485065,-0.5338724838521254,0.001997134956581978,-0.4748813855208235
3/29/2020,2020,3,29,9,0,28,2,443,21,-0.7978494623655914,-0.8799293318428235,0.4338069076307356,0.11624651070339029
3/30/2020,2020,3,30,16,0,9,0,459,21,-0.640621266427718,-0.7875438032207985,0.009386118558713116,-0.3714340036815861
3/31/2020,2020,3,31,17,1,16,0,476,22,-0.6181600955794504,-0.7253605458030962,0.10306746242162362,-0.5803571473961243
4/1/2020,2020,4,1,15,0,17,1,491,22,-0.3682795698924731,-0.8025187001679162,0.15054955958918287,0.425719350491361
4/2/2020,2020,4,2,15,0,15,0,506,22,-0.3682795698924731,-0.8028978285809196,0.118641158855052,0.4906275116453923
4/3/2020,2020,4,3,11,0,15,0,517,22,-0.5367383512544803,-0.854604142895665,0.18546193874676414,0.3435023463629213
4/4/2020,2020,4,4,8,1,11,0,525,23,-0.6630824372759856,-0.8408589420259045,0.16920605591448729,0.34015859260650155
4/5/2020,2020,4,5,14,0,8,1,539,23,-0.41039426523297484,-0.8129093674466507,0.016209168437220575,-0.3763600694834545
4/6/2020,2020,4,6,7,0,14,0,546,23,-0.7051971326164874,-0.9052861360512301,0.23812004047719557,0.21476782674075923
4/7/2020,2020,4,7,27,0,7,0,573,23,0.1370967741935485,-0.6431865926474483,-0.22128261498117402,-0.20413021329960954
4/8/2020,2020,4,8,8,0,27,0,581,23,-0.6630824372759856,-0.8931901486071704,0.42467035750836357,0.10238054770553834
4/9/2020,2020,4,9,26,0,8,0,607,23,0.09498207885304666,-0.6598258734848217,-0.15845786343038398,-0.2308516642590327
4/10/2020,2020,4,10,13,0,26,0,620,23,-0.45250896057347667,-0.8296067034702291,0.3112865627054793,0.21476782674075923
4/11/2020,2020,4,11,10,1,13,0,630,24,-0.578853046594982,-0.8142086079504933,0.1622385658108144,0.36330765707402324
4/12/2020,2020,4,12,2,0,10,1,632,24,-0.9157706093189965,-0.973114450644922,0.23634565038766792,0.04925201579797939
4/13/2020,2020,4,13,9,0,2,0,641,24,-0.6209677419354839,-0.8781205449638957,0.015993067191613322,-0.18369616256593302
4/14/2020,2020,4,14,18,0,9,0,659,24,-0.24193548387096775,-0.7578544491944044,-0.013306016866832443,-0.33695154306850694
4/15/2020,2020,4,15,4,0,18,0,663,24,-0.8315412186379928,-0.945400243135415,0.3226595261209474,0.06151244623818529
4/16/2020,2020,4,16,6,0,4,0,669,24,-0.7473118279569892,-0.9171784597757393,0.09006643426180506,-0.4289047713700513
4/17/2020,2020,4,17,4,1,6,0,673,25,-0.8315412186379928,-0.888608474168245,0.1476202760291419,0.30672105504230357
4/18/2020,2020,4,18,1,0,4,1,674,25,-0.9578853046594982,-0.9857507629014759,0.16270973931256133,0.07683798428844268
4/19/2020,2020,4,19,4,0,1,0,678,25,-0.8315412186379928,-0.9422496882648651,0.07410127507805174,-0.1990217006161904
4/20/2020,2020,4,20,0,0,4,0,678,25,-1.0,-1.0,0.1780953552074827,-0.06109185816387386
4/21/2020,2020,4,21,5,1,0,0,683,26,-0.7894265232974911,-0.8701601891431432,0.04363528614191603,-0.06109185816387386
4/22/2020,2020,4,22,6,1,5,1,689,27,-0.7473118279569892,-0.8533970364780388,0.10356896369017275,0.030861370137670485
4/23/2020,2020,4,23,8,0,6,1,697,27,-0.6630824372759856,-0.881288333506965,0.08803545977718405,-0.4748813855208235
4/24/2020,2020,4,24,8,0,8,0,705,27,-0.6630824372759856,-0.8805396201088707,0.118641158855052,0.4906275116453923
4/25/2020,2020,4,25,3,0,8,0,708,27,-0.8736559139784946,-0.954609584692348,0.1974435958307953,0.14580290551460096
4/26/2020,2020,4,26,3,0,3,0,711,27,-0.8736559139784946,-0.9540218141463883,0.118641158855052,0.4906275116453923
4/27/2020,2020,4,27,7,0,3,0,718,27,-0.7051971326164874,-0.8919628766378238,0.05429729583053003,-0.2975430166535593
4/28/2020,2020,4,28,4,0,7,0,722,27,-0.8315412186379928,-0.9375833012924866,0.16718835966549694,0.2541763531557068
4/29/2020,2020,4,29,4,0,4,0,726,27,-0.8315412186379928,-0.9369096079812326,0.118641158855052,0.4906275116453923
4/30/2020,2020,4,30,4,0,4,0,730,27,-0.8315412186379928,-0.936243297610376,0.118641158855052,0.4906275116453923
5/1/2020,2020,5,1,4,0,4,0,734,27,-0.9157706093189965,-0.9355842494778939,0.118641158855052,0.4906275116453923
5/2/2020,2020,5,2,4,0,4,0,738,27,-0.9157706093189965,-0.9349323454986093,0.118641158855052,0.4906275116453923
5/3/2020,2020,5,3,3,0,4,0,741,27,-0.9368279569892473,-0.950649091942483,0.13600425507987016,0.35269766919307577
5/4/2020,2020,5,4,2,0,3,0,743,27,-0.9578853046594982,-0.9666908039706412,0.13622016402656395,0.30672105504230357
5/5/2020,2020,5,5,8,0,2,0,751,27,-0.8315412186379928,-0.8662150907099133,0.011878300507352738,-0.1990217006161904
5/6/2020,2020,5,6,34,0,8,0,785,27,-0.28405017921146947,-0.4480413841956208,-0.34365764941137683,-0.19090818047193647
5/7/2020,2020,5,7,11,0,34,0,796,27,-0.7683691756272402,-0.8213406196996508,0.5079835696907615,0.11740558500971227
5/8/2020,2020,5,8,14,0,11,0,810,27,-0.7051971326164874,-0.7733532314914806,0.06979307124094028,-0.49458564872829724
5/9/2020,2020,5,9,36,0,14,0,846,27,-0.24193548387096775,-0.43413504262096625,-0.24216128829298128,-0.27564939086747736
5/10/2020,2020,5,10,12,0,36,0,858,27,-0.7473118279569892,-0.8114333072292672,0.4990344087659861,0.12281459843921486
5/11/2020,2020,5,11,11,0,12,0,869,27,-0.7683691756272402,-0.8269973345847152,0.13392759343068328,0.44465089749462006
5/12/2020,2020,5,12,8,0,11,0,877,27,-0.8315412186379928,-0.873642849692063,0.1650223243815009,0.34015859260650155
5/13/2020,2020,5,13,9,0,8,0,886,27,-0.810483870967742,-0.8574160815633529,0.10307017631836204,-0.5515090757721104
5/14/2020,2020,5,14,5,0,9,0,891,27,-0.8947132616487455,-0.9201947998209439,0.18161306182500153,0.24541890284127404
5/15/2020,2020,5,15,11,0,5,0,902,27,-0.7683691756272402,-0.8243173328462451,0.02372383198982471,-0.31187338989535845
5/16/2020,2020,5,16,9,0,11,0,911,27,-0.810483870967742,-0.855855064026595,0.15030634725550102,0.3903148989527985
5/17/2020,2020,5,17,21,0,9,0,932,27,-0.5577956989247312,-0.667078735733723,-0.07298830897814876,-0.2975430166535593
5/18/2020,2020,5,18,23,0,21,0,955,27,-0.5156810035842294,-0.6397054862342526,0.0870466618589249,-0.5648356305984212
5/19/2020,2020,5,19,7,0,23,0,962,27,-0.8525985663082437,-0.8897991393785258,0.37352559378800115,0.10682273264764194
5/20/2020,2020,5,20,64,1,7,0,1026,28,0.3476702508960574,0.015587605178745578,-0.7732609128788928,-0.12143616423676235
5/21/2020,2020,5,21,62,0,64,1,1088,28,0.3055555555555556,-0.11592268683995632,0.14729712202463968,0.47338628133885274
5/22/2020,2020,5,22,10,0,62,0,1098,28,-0.7894265232974911,-0.857023470405204,0.870004694372189,0.02789513696665294
5/23/2020,2020,5,23,17,0,10,0,1115,28,-0.6420250896057347,-0.7578298163842618,0.024461720905379417,-0.38563266393403045
5/24/2020,2020,5,24,26,1,17,0,1141,29,-0.45250896057347667,-0.5733507388440572,-0.002547437403098665,-0.42183144611608636
5/25/2020,2020,5,25,0,0,26,1,1141,29,-1.0,-1.0,0.4660053374442909,-0.06109185816387386
5/26/2020,2020,5,26,21,0,0,0,1162,29,-0.5577956989247312,-0.7062729086697184,-0.1635163262446423,-0.06109185816387386
5/27/2020,2020,5,27,7,0,21,0,1169,29,-0.8525985663082437,-0.901571310848449,0.30308200602977564,0.12281459843921486
5/28/2020,2020,5,28,4,0,7,0,1173,29,-0.9157706093189965,-0.9433170225984344,0.15781104443134714,0.2541763531557068
5/29/2020,2020,5,29,19,1,4,0,1192,30,-0.599910394265233,-0.6705395723288741,-0.07853212404465079,-0.17724330443950884
5/30/2020,2020,5,30,29,0,19,1,1221,30,-0.38933691756272404,-0.5964305089435953,-0.0114835177761769,-0.42256316941822064
5/31/2020,2020,5,31,22,1,29,0,1243,31,-0.5367383512544803,-0.6334366625028678,0.20945534555924722,0.3574538706569487
